CCTV 설치장소,대수,설치년도,단속구간,단속일자,데이터기준일자
호남석재사거리(신산로),1,2015,신산공원입구↔CU앞↔금영골든빌1차(횡단보도)↔동경아트빌앞(횡단보도),2015-08-01,2018-10-01
동문로타리(동문로) ,1,2015,중앙로사거리↔조일약국↔산지천↔동문로타리↔동문주차빌딩입구,2015-08-01,2018-10-01
관덕로 공영유료주차장앞 ,1,2015,제주우체국↔제주목관아↔서무사거리,2015-08-01,2018-10-01
로얄손세차장앞(연동9길) ,1,2015,로얄호텔4가↔그리스호텔앞↔조마루뼈다귀앞(횡단보도),2015-08-01,2018-10-01
삼해인호텔 앞(도령로) ,1,2015,롯데면세점↔삼해인호텔↔삼성서비스센터앞,2015-11-09,2018-10-01
삼성전자서비스센터앞(도령로),1,2015,삼해인호텔앞↔구문화칼라사거리↔신대로16길↔신광노타리,2015-11-09,2018-10-01
(구)문화칼라사거리(삼무로.신광로)】 ,1,2015,재원아파트입구↔롯데면세점앞↔현대자동차↔삼성서비스센타앞,2015-11-09,2018-10-01
종합경기장사거리 ,1,2015,정합경기장↔송월타올↔늘푸른충전소↔삼담우체국↔한성건재앞↔시외버스터미널,2015-11-02,2018-10-01
일도1동 복지회관앞 ,1,2016,중앙로7길(푸마사거리↔북성교)관덕로15길(흑돼지거리입구↔철정갈비),2016-07-01,2018-10-01
칠성 공영주차장앞 ,1,2016,관덕로13길(츄러스↔명동의류),2016-08-01,2018-10-01
제주지방합동청사삼거리,1,2016,삼다오메기↔합동청사↔시민복지타운↔그린트리세무컨설팅↔병문천1교다리앞,2016-08-01,2018-10-01
시민복지타운광장앞,1,2016,삼다오메기↔합동청사↔시민복지타운↔그린트리세무컨설팅↔병문천1교다리앞,2016-08-01,2018-10-01
삼일기계상사 앞 ,1,2016,운동장정문↔메로왕↔시외버스터미널↔실내수영장5가,2016-08-01,2018-10-01
제주자연사박물관앞 ,1,2016,삼성혈↔자연사박물관↔제주통일관↔국수네집,2016-08-01,2018-10-01
흑돼지거리앞,1,2016,신한은행입구↔산지천제주몬트락↔일도1동복지회관,2016-09-01,2018-10-01
인천문화당앞,1,2016,중앙로(현대약국맞은편)↔중앙성당↔R&T호텔,2016-09-01,2018-10-01
아라현대아이파크후문앞 ,1,2016,아라아이파크101동앞↔탐나마트사거리↔아라아이파크후문↔아라스테이,2017-03-13,2018-10-01
탐나마트사거리 ,1,2016,아라아이파크후문앞↔아라그린빌앞(횡단보도)↔까리따스유치원앞↔법음사앞(횡단보도),2017-03-13,2018-10-01
아라스위첸후문사거리 ,1,2016,아라스위첸후문앞↔제주제일교회옆(횡단보도)↔돌미로카페앞(횡단보도)↔칼디커피숍(횡단보도),2017-03-13,2018-10-01
하귀휴먼시아아파트사거리 ,1,2017,하귀휴먼시아2차202동앞↔하귀일초교버스정류소앞↔두루치기식당앞↔제주교회앞,2017-06-26,2018-10-01
함덕우체국옆(신북로) ,1,2017,함덕라마다호텔앞↔함덕우체국↔함덕파출소(리사무소)↔함덕해수욕장진입로↔제주어촌↔함덕킹마트↔함덕신협↔함덕서우봉해변↔대명리조트입구(횡단보도),2017-07-10,2018-10-01
함덕파출소앞(신북로),1,2017,함덕라마다호텔앞↔함덕우체국↔함덕파출소(리사무소)↔함덕해수욕장진입로↔제주어촌↔함덕킹마트↔함덕신협↔함덕서우봉해변↔대명리조트입구(횡단보도),2017-07-10,2018-10-01
함덕해수욕장앞(신북로),1,2017,함덕라마다호텔앞↔함덕우체국↔함덕파출소(리사무소)↔함덕해수욕장진입로↔제주어촌↔함덕킹마트↔함덕신협↔함덕서우봉해변↔대명리조트입구(횡단보도),2017-07-10,2018-10-01
남경호텔사거리(중앙로),1,2017,천년타워↔흑돼지거리↔탑동사거리↔해변공연장↔맥도날드↔팔레스호텔,2017-09-01,2018-10-01
탑동사거리(중앙로),1,2017,천년타워↔흑돼지거리↔탑동사거리↔해변공연장↔맥도날드↔팔레스호텔,2017-09-01,2018-10-01
새마을금고(산지천) ,1,2017,동문로타리(마산침구)↔북성교주변↔새마을금고↔김만덕기념관↔용진교앞(횡단보도),2017-09-01,2018-10-01
김만덕기념관앞(산지천) ,1,2017,동문로타리(마산침구)↔북성교주변↔새마을금고↔김만덕기념관↔용진교앞(횡단보도),2017-09-01,2018-10-01
동문공영주차장옆(중앙로13길),1,2017,-중앙로13길.동문로6길(동문공설시장진입로↔동문공영주차장↔초인트부동산옆(횡단보도)↔국제냉동수산↔남수교다리),2017-09-01,2018-10-01
동문공설시장앞(동문로6길) ,1,2017,-중앙로13길.동문로6길(동문공설시장진입로↔동문공영주차장↔초인트부동산옆(횡단보도)↔국제냉동수산↔남수교다리),2017-09-01,2018-10-01
