비교,개별-차량임대비
2만원 미만,4.7
2만원 이상-5만원 미만,47.9
5만원 이상-10만원 미만,26.3
10만원 이상~20만원 미만,5.2
20만원 이상,1.2
경험없음,14.7
평균 (원),42268
