"구분별(1)",구분별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"구분별(1)",구분별(2),사례수 (명),도로안전시설(표지판 횡단보도 신호등 등) 늘리기 (%),안전한 보행자길 갖추기 (%),가로등 늘리고 고치기 (%),CCTV 설치 늘리기 (%),경찰 순찰 횟수 늘리기 (%),오래되고 낡은 건물 시설 고치기 (%),빈집 버려진 집 방치된 빈터 관리 (%),안심하고 집에 갈 수 있는 서비스 늘리기 (%),주민 방범/순찰봉사 활동 늘리기 (%),기타 (%)
"합계",소계,3958,13.6,16.4,13.4,23.6,8.5,9.1,10.0,3.1,2.1,0.2
"읍/면",읍,1683,14.2,16.9,13.3,25.9,11.0,7.2,5.3,3.4,2.7,0.2
"읍/면",면,2275,13.1,16.0,13.5,22.0,6.6,10.6,13.5,2.9,1.6,0.2
"영농여부",농어가,1332,13.6,14.7,12.9,23.8,6.3,10.9,13.7,2.1,1.8,0.2
"영농여부",비농가,2625,13.6,17.3,13.7,23.6,9.6,8.2,8.1,3.5,2.2,0.2
