지역,인구
서울,9732577 
부산,3416721 
대구,2441581 
인천,2957249 
광주,1458915 
대전,1476955 
울산,1148922 
세종,338647 
경기,13228177 
강원,1541399 
충북,1599651 
충남,2124302 
전북,1820799 
전남,1865588 
경북,2665775 
경남,3363274 
제주,670895 
