범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,기타도시,도시이외
강력범죄,살인기수,46,29,17,20,9,16,7,1,84,7,4,11,8,7,16,17,4,2,51
강력범죄,살인미수등,100,43,12,28,8,9,15,1,157,11,15,23,18,8,18,29,12,2,49
강력범죄,강도,260,137,51,88,47,35,33,3,185,22,19,39,38,20,40,60,25,1,46
강력범죄,강간,1129,314,197,347,170,171,112,10,1144,150,128,173,129,108,204,208,84,11,366
강력범죄,유사강간,123,28,37,47,21,14,16,1,129,19,21,11,18,9,15,25,16,0,33
강력범죄,강제추행,4667,951,632,1176,488,420,293,40,3644,264,314,468,332,267,398,600,318,39,743
강력범죄,기타강간강제추행등,72,30,14,27,15,15,9,0,85,6,7,14,16,9,7,24,8,3,47
강력범죄,방화,286,98,68,84,38,44,38,2,325,39,39,71,37,36,58,74,26,4,135
절도범죄,절도,46861,16777,9171,10025,6050,6981,4227,638,44120,4047,4959,7303,5276,3602,8093,11199,3500,369,9839
폭력범죄,상해,6949,4637,2863,2289,1309,1415,1422,162,9187,2047,1272,1927,1335,1212,2689,3882,982,124,4325
폭력범죄,폭행,39337,9749,7457,11762,4797,5121,4026,377,41888,4290,3773,3568,4381,3532,4899,7233,3112,210,6291
폭력범죄,체포감금,268,77,47,132,43,30,28,3,289,20,33,41,44,37,51,60,18,7,90
폭력범죄,협박,3036,1031,600,870,400,528,461,45,4175,407,374,501,395,335,588,723,360,34,1007
폭력범죄,약취유인,35,20,8,10,8,4,3,2,49,7,1,6,5,8,5,12,4,2,12
폭력범죄,폭력행위등,2615,1052,534,899,389,418,268,42,3212,323,253,459,451,254,484,733,211,20,685
폭력범죄,공갈,694,416,192,255,114,130,95,30,759,64,66,118,66,90,177,183,59,19,218
폭력범죄,손괴,11667,3462,2856,3664,1550,1537,1500,161,14679,1890,1625,1981,1374,1164,2521,2982,1357,77,3080
지능범죄,직무유기,111,64,31,13,20,10,9,10,87,18,12,23,13,5,9,21,1,0,74
지능범죄,직권남용,129,34,23,15,8,15,13,4,87,6,6,22,8,2,11,16,5,0,33
지능범죄,증수뢰,45,28,9,12,9,6,6,3,36,7,9,8,8,6,6,21,4,0,37
지능범죄,통화,867,53,39,131,19,78,19,2,404,24,27,32,14,6,26,19,16,3,32
지능범죄,문서인장,2932,1212,558,668,444,403,279,39,2837,285,295,384,441,287,489,632,172,90,848
지능범죄,유가증권인지,101,6,4,12,6,2,0,1,52,3,3,4,3,2,5,5,0,1,9
지능범죄,사기,51561,20372,10547,13175,6753,7065,4873,562,53349,4773,4723,8121,7556,4618,10081,13886,3116,1812,14670
지능범죄,횡령,15367,2971,1892,2997,1516,1328,827,189,12546,773,795,1211,814,625,1294,2121,717,134,1936
지능범죄,배임,1024,312,124,225,121,72,94,11,859,92,63,123,107,78,127,218,32,15,661
풍속범죄,성풍속범죄,3498,1064,643,1228,266,336,174,29,3269,165,196,295,205,109,307,432,192,37,274
풍속범죄,도박범죄,2149,1137,943,483,401,560,752,28,2445,162,309,427,681,249,832,709,291,140,748
특별경제범죄,특별경제범죄,17109,8134,2756,3741,1616,1465,1159,357,14317,967,916,1478,1007,780,1720,2952,1356,902,2293
마약범죄,마약범죄,1449,963,334,641,75,117,78,8,1255,158,238,198,71,94,261,611,39,19,720
보건범죄,보건범죄,3875,2365,289,957,249,213,226,22,2971,290,232,249,387,167,344,735,114,26,951
환경범죄,환경범죄,58,223,11,85,8,14,47,4,1199,103,20,95,71,1331,212,294,28,23,523
교통범죄,교통범죄,74270,32944,31682,30972,22137,14524,14105,1234,164462,18813,16314,18631,14310,17058,30116,37850,15702,1287,43990
노동범죄,노동범죄,509,209,96,80,29,96,75,6,795,24,26,48,38,43,73,229,11,3,67
안보범죄,안보범죄,19,6,2,4,8,1,2,1,17,2,2,4,1,0,0,5,2,2,3
선거범죄,선거범죄,180,60,28,64,7,17,33,7,193,21,15,24,61,39,42,75,17,6,129
병역범죄,병역범죄,4120,662,615,1281,330,555,222,131,4027,221,390,941,369,241,588,906,229,62,761
기타범죄,기타범죄,44407,22296,10712,14952,4809,5268,4784,495,77652,5714,4819,8225,7414,4217,7006,13853,4745,1187,17984
